,lat,long,class,text,time,scale
1326,42.06398,-72.620117,D,2,2,2.8284271247461903
1327,42.067082,-75.95015,D,2,2,2.8284271247461903
1328,42.073833,-88.315777,D,1,1,2.0
1329,42.081092,-83.244107,D,1,1,2.0
1330,42.086249,-70.948871,D,1,1,2.0
1331,42.088532,-87.771548,D,1,1,2.0
1332,42.09624014,-70.6521053,D,1,1,2.0
1333,42.098332,-87.910507,D,1,1,2.0
1334,42.10914569,-87.92146838,D,1,1,2.0
1335,42.116038,-87.798116,D,1,1,2.0
1336,42.131829,-71.47832,D,1,1,2.0
1337,42.135383,-70.981,D,1,1,2.0
1338,42.142414,-83.785083,D,1,1,2.0
1339,42.150587,-85.648591,D,2,2,2.8284271247461903
1340,42.157378,-70.931755,D,1,1,2.0
1341,42.162001,-72.703482,D,2,2,2.8284271247461903
1342,42.163379,-71.733841,D,1,1,2.0
1343,42.165629,-83.661476,D,3,3,3.4641016151377544
1344,42.167149,-122.736467,D,2,2,2.8284271247461903
1345,42.168248,-71.049556,D,2,2,2.8284271247461903
1346,42.171924,-89.173876,D,1,1,2.0
1347,42.176663,-84.493659,D,1,1,2.0
1348,42.181294,-83.308978,D,1,1,2.0
1349,42.197262,-88.061217,D,1,1,2.0
1350,42.204294,-71.093301,D,4,4,4.0
1351,42.209198,-71.237122,D,1,1,2.0
1352,42.210065,-71.893265,D,13,13,7.211102550927978
1353,42.215087,-83.800262,D,7,7,5.291502622129181
1354,42.215555,-85.649602,D,1,1,2.0
1355,42.223205,-72.736613,D,3,3,3.4641016151377544
1356,42.226598,-71.677611,D,1,1,2.0
1357,42.227797,-71.191421,D,31,31,11.135528725660043
1358,42.227797,-71.146101,D,1,1,2.0
1359,42.229356,-71.505683,D,1,1,2.0
1360,42.229425,-122.795124,D,1,1,2.0
1361,42.233905,-83.113623,D,1,1,2.0
1362,42.241233,-71.768222,D,1,1,2.0
1363,42.255085,-83.288056,D,3,3,3.4641016151377544
1364,42.267434,-83.430458,D,1,1,2.0
1365,42.268212,-83.312805,D,1,1,2.0
1366,42.277554,-83.287094,D,1,1,2.0
1367,42.283041,-71.270426,D,4,4,4.0
1368,42.28419,-72.729839,D,2,2,2.8284271247461903
1369,42.288789,-85.649338,D,1,1,2.0
1370,42.291504,-80.766742,D,1,1,2.0
1371,42.29466,-71.178586,D,2,2,2.8284271247461903
1372,42.310982,-71.625705,D,1,1,2.0
1373,42.312204,-71.918466,D,1,1,2.0
1374,42.329754,-72.537784,D,1,1,2.0
1375,42.33925306,-122.89101603,D,1,1,2.0
1376,42.343839,-71.011197,D,1,1,2.0
1377,42.352429,-71.160356,D,10,10,6.324555320336759
1378,42.352453,-83.433894,D,1,1,2.0
1379,42.352885,-71.289902,D,2,2,2.8284271247461903
1380,42.358121,-71.217418,D,3,3,3.4641016151377544
1381,42.36118,-71.122952,D,1,1,2.0
1382,42.372753,-71.134552,D,6,6,4.898979485566356
1383,42.383638,-89.059905,D,2,2,2.8284271247461903
1384,42.385735,-96.492971,D,2,2,2.8284271247461903
1385,42.386215,-88.059661,D,1,1,2.0
1386,42.386579,-71.076232,D,1,1,2.0
1387,42.396145,-71.149807,D,3,3,3.4641016151377544
1388,42.412466,-71.089522,D,1,1,2.0
1389,42.41815,-76.547738,D,3,3,3.4641016151377544
1390,42.421196,-92.437083,D,1,1,2.0
1391,42.435517,-71.189239,D,1,1,2.0
1392,42.436044,-83.555202,D,2,2,2.8284271247461903
1393,42.438913,-71.082765,D,1,1,2.0
1394,42.442178,-83.319904,D,2,2,2.8284271247461903
1395,42.442191,-90.781325,D,1,1,2.0
1396,42.445669,-83.17198,D,1,1,2.0
1397,42.447289,-83.086881,D,4,4,4.0
1398,42.449701,-71.207236,D,3,3,3.4641016151377544
1399,42.449927,-82.971839,D,1,1,2.0
1400,42.464484,-92.499974,D,1,1,2.0
1401,42.46624,-71.240602,D,1,1,2.0
1402,42.479636,-104.05774,D,1,1,2.0
1403,42.48393,-70.950694,D,1,1,2.0
1404,42.491921,-92.889433,D,12,12,6.928203230275509
1405,42.52605,-83.441942,D,1,1,2.0
1406,42.526142,-71.49798,D,2,2,2.8284271247461903
1407,42.529187,-83.325363,D,1,1,2.0
1408,42.530837,-83.248591,D,1,1,2.0
1409,42.534811,-83.091535,D,3,3,3.4641016151377544
1410,42.538811,-87.959452,D,1,1,2.0
1411,42.53915,-70.923007,D,1,1,2.0
1412,42.57228,-70.740864,D,2,2,2.8284271247461903
1413,42.580322,-73.731523,D,1,1,2.0
1414,42.604079,-71.145979,D,1,1,2.0
1415,42.605989,-71.382444,D,1,1,2.0
1416,42.607297,-81.835697,D,1,1,2.0
1417,42.611619,-83.44622,D,1,1,2.0
1418,42.618566,-84.63184,D,2,2,2.8284271247461903
1419,42.626286,-87.915353,D,2,2,2.8284271247461903
1420,42.627801,-82.976654,D,1,1,2.0
1421,42.630077,-82.859608,D,1,1,2.0
1422,42.636915,-70.884728,D,1,1,2.0
1423,42.640878,-88.569022,D,1,1,2.0
1424,42.667745,-87.910314,D,1,1,2.0
1425,42.676375,-73.832933,D,5,5,4.47213595499958
1426,42.677972,-87.877863,D,2,2,2.8284271247461903
1427,42.681889,-84.720053,D,1,1,2.0
1428,42.696984,-72.557247,D,5,5,4.47213595499958
1429,42.700087,-71.5749,D,1,1,2.0
1430,42.704505,-84.515906,D,1,1,2.0
1431,42.726853,-73.437741,D,4,4,4.0
1432,42.731229,-84.483739,D,2,2,2.8284271247461903
1433,42.73759,-71.284469,D,3,3,3.4641016151377544
1434,42.75267,-83.80635,D,1,1,2.0
1435,42.752988,-74.03435,D,1,1,2.0
1436,42.77232,-86.212713,D,1,1,2.0
1437,42.775296,-73.72126,D,1,1,2.0
1438,42.776081,-83.659922,D,1,1,2.0
1439,42.790895,-70.93895,D,2,2,2.8284271247461903
1440,42.790953,-71.589882,D,2,2,2.8284271247461903
1441,42.813864,-103.025614,D,2,2,2.8284271247461903
1442,42.817667,-83.729713,D,1,1,2.0
1443,42.824496,-81.391247,D,4,4,4.0
1444,42.826008,-78.912276,D,7,7,5.291502622129181
1445,42.83309,-71.088352,D,1,1,2.0
1446,42.83611,-87.951617,D,1,1,2.0
1447,42.842935,-85.90144,D,2,2,2.8284271247461903
1448,42.85341,-85.782295,D,1,1,2.0
1449,42.854479,-85.665318,D,1,1,2.0
1450,42.854485,-85.551867,D,1,1,2.0
1451,42.858079,-88.069621,D,2,2,2.8284271247461903
1452,42.863516,-78.799913,D,1,1,2.0
1453,42.86362,-78.696966,D,1,1,2.0
1454,42.883679,-85.751406,D,2,2,2.8284271247461903
1455,42.885184,-85.921923,D,2,2,2.8284271247461903
1456,42.887879,-73.363994,D,1,1,2.0
1457,42.890919,-71.512722,D,1,1,2.0
1458,42.896802,-71.615121,D,1,1,2.0
1459,42.899436,-83.831237,D,2,2,2.8284271247461903
1460,42.90595,-112.505957,D,1,1,2.0
1461,42.913667,-70.877383,D,1,1,2.0
1462,42.917127,-71.084335,D,6,6,4.898979485566356
1463,42.920822,-88.070827,D,7,7,5.291502622129181
1464,42.930427,-85.629677,D,1,1,2.0
1465,42.948903,-78.832497,D,5,5,4.47213595499958
1466,42.955994,-78.941453,D,3,3,3.4641016151377544
1467,42.959625,-83.692863,D,1,1,2.0
1468,42.968277,-76.026142,D,1,1,2.0
1469,42.975404,-77.232093,D,1,1,2.0
1470,42.975833,-83.576507,D,1,1,2.0
1471,42.983681,-89.487156,D,1,1,2.0
1472,42.984026,-76.204476,D,9,9,6.0
1473,42.987905,-75.072113,D,1,1,2.0
1474,42.999457,-82.515067,D,1,1,2.0
1475,43.013673,-70.820242,D,2,2,2.8284271247461903
1476,43.020588,-73.848875,D,1,1,2.0
1477,43.034325,-77.486575,D,1,1,2.0
1478,43.043093,-86.213904,D,1,1,2.0
1479,43.050553,-80.248423,D,3,3,3.4641016151377544
1480,43.066005,-82.339616,D,1,1,2.0
1481,43.07079,-79.075086,D,1,1,2.0
1482,43.072945,-76.167052,D,1,1,2.0
1483,43.08597,-85.581154,D,1,1,2.0
1484,43.087472,-77.694219,D,1,1,2.0
1485,43.110482,-123.442766,D,1,1,2.0
1486,43.154941,-89.2948,D,1,1,2.0
1487,43.159703,-71.622585,D,1,1,2.0
1488,43.166743,-77.623126,D,3,3,3.4641016151377544
1489,43.16754,-112.376169,D,2,2,2.8284271247461903
1490,43.178823,-77.761369,D,2,2,2.8284271247461903
1491,43.1963,-77.534189,D,2,2,2.8284271247461903
1492,43.254154,-70.883673,D,1,1,2.0
1493,43.309929,-79.810961,D,6,6,4.898979485566356
1494,43.310536,-83.761362,D,1,1,2.0
1495,43.318386,-81.443037,D,1,1,2.0
1496,43.332161,-80.413946,D,2,2,2.8284271247461903
1497,43.366298,-64.237659,D,5,5,4.47213595499958
1498,43.373074,-79.810142,D,5,5,4.47213595499958
1499,43.403221,-79.639319,D,40,40,12.649110640673518
1500,43.446466,-70.522531,D,1,1,2.0
1501,43.465641,-96.839502,D,1,1,2.0
